Date,ISIN,SECURITY_NAME,Maturity,RESIDUAL_NS,SIGNAL,Z_Residual_Score,Volatility_Score,Cluster_Score,Regression_Score,COMPOSITE_SCORE,Z_SPRD_VAL,Top_Features,Top_Feature_Effects_Pct
2025-10-28,AT0000383864,RAGB 6 1/4 07/15/27,2027-07-15,-5.2526920523392935,MODERATE SELL,-1.4146005450797738,0.9901699832882079,-1.1745072815644233,0.5346715217255232,-1.265127458707303,-14.374539142942217,,
2025-10-28,AT0000A04967,RAGB 4.15 03/15/37,2037-03-15,2.4012763424950165,MODERATE BUY,1.4666750573493987,0.9950305866592635,1.2302961230927412,0.8060408220672013,1.3986526772526255,42.087784027867215,,
2025-10-28,AT0000A0DXC2,RAGB 4.85 03/15/26,2026-03-15,4.59355172989787,MODERATE BUY,1.3836902783971161,0.9775877002691732,1.3211434127829986,-0.1239962787603438,1.239784662628219,-14.425634519526527,,
2025-10-28,AT0000A0U299,RAGB 3.8 01/26/62,2062-01-26,5.279071205928503,MODERATE BUY,1.405635534877561,0.9963250994183769,1.5955749152744043,0.7151681886089086,1.4566268843878087,82.75719099976887,,
2025-10-28,AT0000A0VRQ6,RAGB 3.15 06/20/44,2044-06-20,-1.583579058653754,MODERATE SELL,-1.6225431026741524,0.9987071896749262,-1.5208346422369912,0.6712683264447049,-1.4737677594221235,57.33025863510254,,
2025-10-28,AT0000A10683,RAGB 2.4 05/23/34,2034-05-23,-0.5050717377347382,NO ACTION,-2.3855750329089794e-18,0.9975202606799911,0.0014262887098116935,0.4623212701205216,0.2275520966926414,28.395144551125195,,
2025-10-28,AT0000A1K9C8,RAGB 0 3/4 10/20/26,2026-10-20,0.9921195562247308,NO ACTION,0.3601675192770706,0.9945062679709564,0.6210179053115795,0.4219784493127702,0.5845722088412504,-13.456512332108003,,
2025-10-28,AT0000A1K9F1,RAGB 1 1/2 02/20/47,2047-02-20,-3.0104353359703424,NO ACTION,-0.5725798027391712,0.9988265487479152,-0.5568522331226784,0.17223589829078895,-0.6533336309889971,60.66162038364836,,
2025-10-28,AT0000A1PEF7,RAGB 1 1/2 11/02/2086,2086-11-02,1.1544855787397807,NO ACTION,-2.3855750329089794e-18,0.9960417053588368,0.0014262887098116935,1.0452147421346385,0.327840518447329,82.45621650384706,,
2025-10-28,AT0000A1VGK0,RAGB 0 1/2 04/20/27,2027-04-20,-3.642938306050125,WEAK SELL,-0.9571104365751633,0.9902361778715173,-0.9293161217126029,-0.8939410763275735,-1.1121087461219274,-14.443003111427933,,
2025-10-28,AT0000A1ZGE4,RAGB 0 3/4 02/20/28,2028-02-20,-3.4606963718714088,WEAK SELL,-0.9053174946834573,0.9887482989913142,-1.043896064407144,-0.06750444830235008,-0.975438356319573,-8.419120739730962,,
2025-10-28,AT0000A269M8,RAGB 0 1/2 02/20/29,2029-02-20,-0.6794573166302348,NO ACTION,0.020811673031873836,0.9914465283084282,0.5316562021550383,1.0804113190947755,0.496320906765943,0.8929191871116989,,
2025-10-28,AT0000A2CQD2,RAGB 0 02/20/30,2030-02-20,0.4543878195928972,NO ACTION,0.6476914960943781,0.9965353472903425,0.7268781896839104,-2.2175763174782106,0.6913534150262257,8.0769874104805,,
2025-10-28,AT0000A2EJ08,RAGB 0 3/4 03/20/51,2051-03-20,-3.898317831759883,WEAK SELL,-0.7844648844740794,0.9976608057824464,-0.8268698294706391,1.85456311247902,-0.8404025875115123,65.34899309581549,,
2025-10-28,AT0000A2KQ43,RAGB 0 10/20/40,2040-10-20,0.1014019296687465,NO ACTION,-0.3162789238234712,0.995404647650039,-0.9104299907104841,1.0867066264744039,-0.6217630325589487,50.64316473278885,,
2025-10-28,AT0000A2NW83,RAGB 0 02/20/31,2031-02-20,0.8288599500718874,NO ACTION,-2.3855750329089794e-18,0.9978849713870619,0.0014262887098116935,-0.6011867136940575,0.1478690804289459,14.071376923110854,,
2025-10-28,AT0000A2QQB6,RAGB 0.7 04/20/2071,2071-04-20,-4.960804623544291,WEAK SELL,-1.0380176933052856,0.9970859955533173,-1.3117240531305479,-0.1693696363740956,-1.1401119739045302,75.2825000583552,,
2025-10-28,AT0000A2T198,RAGB 0 1/4 10/20/36,2036-10-20,0.3359251080765304,NO ACTION,-0.13446724215619935,0.9966152133882277,-0.6949770898639451,0.24134834933108537,-0.4659503811254852,38.624431612363296,,
2025-10-28,AT0000A2VB47,RAGB 0 10/20/28,2028-10-20,-0.0009050348999875,NO ACTION,0.07795110637003348,0.9909034024618657,0.6154163461974989,0.0029522615819956226,0.3640236834110087,-0.5698156566433259,,
2025-10-28,AT0000A2WSC8,RAGB 0.9 02/20/32,2032-02-20,2.088174948789849,NO ACTION,-2.3855750329089794e-18,0.9969081879539606,0.0014262887098116935,-2.3731289211942967,0.1477005947811076,20.549910521456564,,
2025-10-28,AT0000A2Y8G4,RAGB 1.85 05/23/49,2049-05-23,-2.833299930723001,WEAK SELL,-0.5303080494419021,0.9985791640305091,-0.6158634850210334,-1.0631108472953403,-0.831757626463432,64.14374720633725,,
2025-10-28,AT0000A308C5,RAGB 2 07/15/26,2026-07-15,4.84523924549592,MODERATE BUY,1.455219572294174,0.9904107264318629,1.3079221007610937,0.10301949181768706,1.2929797817554398,-11.60306305463237,,
2025-10-28,AT0000A324S8,RAGB 2.9 02/20/33,2033-02-20,0.3788923143690113,NO ACTION,-2.3855750329089794e-18,0.9970011045759942,0.0014262887098116935,0.023045248293335006,0.15169170332517584,23.699531044531955,,
