Date,ISIN,SECURITY_NAME,Maturity,RESIDUAL_NS,SIGNAL,Z_Residual_Score,Volatility_Score,Cluster_Score,Regression_Score,COMPOSITE_SCORE,Z_SPRD_VAL,Top_Features,Top_Feature_Effects_Pct
2026-06-23,IT0001278511,BTPS 5 1/4 11/01/29,2029-11-01,-2.1429680412341288,MODERATE SELL,-1.1841459649037536,0.9689301482973012,-1.5413422833851516,1.3836671325143755,-1.2390162566429808,9.961,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']","[0.504411241001695, 0.321346420418291, 0.11716682106508507]"
2026-06-23,IT0001444378,BTPS 6 05/01/31,2031-05-01,-1.1349984337612504,WEAK SELL,-0.6445040624593332,0.9394404791988848,-1.2290175752222778,1.5172808140745726,-0.8600220664962362,26.048,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']","[0.4286022294578992, 0.40193617191217285, 0.12243108055025746]"
2026-06-23,IT0003256820,BTPS 5 3/4 02/01/33,2033-02-01,1.0375930433076943,WEAK BUY,0.4813288783648048,0.980070708385096,0.8502442477403878,1.439063896175744,0.9225461984482931,43.784,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']","[0.4650945780731633, 0.4069330574436822, 0.07506154367589683]"
2026-06-23,IT0003535157,BTPS 5 08/01/34,2034-08-01,1.3130692856606243,NO ACTION,-0.15101318972999062,0.991113852844058,-0.46774746386286215,1.493510253227035,-0.3886579943863134,55.652,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']","[0.523671763391649, 0.31847891734181744, 0.10903174414673711]"
2026-06-23,IT0003934657,BTPS 4 02/01/37,2037-02-01,-2.621547755842528,WEAK SELL,-0.824704702306833,0.983156444945144,-1.2697612425247053,1.378956841079551,-0.9739888976655786,68.196,"['Issue_Age', 'AMT_OUTSTANDING', 'Cpn']","[0.5753896867737812, 0.20370859505601077, 0.16347208366478644]"
2026-06-23,IT0004286966,BTPS 5 08/01/39,2039-08-01,-1.4730290261811376,NO ACTION,-0.1832841830819101,0.9762813175159699,-0.41896249746039527,1.1285832328797887,-0.3887754460406189,82.616,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']","[0.4736853001162656, 0.3454386534414535, 0.10462346863043494]"
2026-06-23,IT0004532559,BTPS 5 09/01/40,2040-09-01,-2.758580061367581,WEAK SELL,-0.9012340006896128,0.9833833852607572,-1.0767212303235523,1.0720026791401729,-0.9579274490124036,86.272,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']","[0.4530321193156986, 0.3694724764735468, 0.09698913303663868]"
2026-06-23,IT0004889033,BTPS 4 3/4 09/01/28,2028-09-01,-0.6524188769039596,NO ACTION,-0.147960062835839,0.971412062370189,-0.41184904056420635,0.4463479600606406,-0.36733583120432517,-1.621,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']","[0.3859670766972301, 0.3488005898877807, 0.13768970169429812]"
2026-06-23,IT0004923998,BTPS 4 3/4 09/01/44,2044-09-01,-3.9037170645449777,MODERATE SELL,-1.5407659057359233,0.9791383261975061,-1.206863307863667,0.98826434722297,-1.330333676419566,99.657,"['Issue_Age', 'Cpn', 'GREEN_BOND_LOAN_INDICATOR']","[0.44023028948459053, 0.4115434406615544, 0.061424599234145456]"
2026-06-23,IT0005024234,BTPS 3 1/2 03/01/30,2030-03-01,-2.333712279337954,MODERATE SELL,-1.2862656942760793,0.9761506272582178,-1.5197089098953689,0.29455108651194195,-1.2875096209763712,13.24,"['Issue_Age', 'AMT_OUTSTANDING', 'Cpn']","[0.47992346168597244, 0.27254635481996775, 0.10857555046283131]"
2026-06-23,IT0005083057,BTPS 3 1/4 09/01/46,2046-09-01,-2.929212822200654,NO ACTION,-0.7716795906229473,0.982307452173188,-0.5063668608564734,0.5961254181419198,-0.7237239572104136,106.085,"['Issue_Age', 'GREEN_BOND_LOAN_INDICATOR', 'YAS_RISK']","[0.6945897513893858, 0.10726192173383478, 0.08186587797773347]"
2026-06-23,IT0005094088,BTPS 1.65 03/01/32,2032-03-01,-2.373704639880245,MODERATE SELL,-1.3645443304141496,0.9715806028017516,-1.2042588385195245,0.6799009740371452,-1.2358779698030835,32.479,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']","[0.42604339053685675, 0.3300223737497467, 0.1339499847371201]"
2026-06-23,IT0005162828,BTPS 2.7 03/01/47,2047-03-01,-3.3667864319251635,WEAK SELL,-0.872681108566818,0.9609423242209457,-0.6829091875558243,0.07155094589050304,-0.8243501772270257,106.842,"['Issue_Age', 'Cpn', 'GREEN_BOND_LOAN_INDICATOR']","[0.5834683566858112, 0.15644416225734042, 0.10436782620713406]"
2026-06-23,IT0005177909,BTPS 2 1/4 09/01/36,2036-09-01,-1.297570253191509,NO ACTION,-0.08529461237046362,0.9817010435219031,-0.2984488175269072,1.372885178255469,-0.3032588891096693,67.0,"['Issue_Age', 'Cpn', 'GREEN_BOND_LOAN_INDICATOR']","[0.5376952213328302, 0.3076172825975262, 0.09680139745869928]"
2026-06-23,IT0005217390,BTPS 2.8 03/01/67,2067-03-01,2.701296281360541,NO ACTION,0.5279645232314132,0.8598276099171289,0.7770912150367887,-0.37017738626278845,0.6532222240134942,130.104,"['REL_SPRD_LOG', 'Issue_Age', 'AMT_OUTSTANDING']","[0.34658723065607777, 0.27808062305917647, 0.18640361046412268]"
2026-06-23,IT0005240350,BTPS 2.45 09/01/33,2033-09-01,-2.402948503902067,STRONG SELL,-2.380896853348922,0.9579817714119628,-1.6328893808317562,0.0391245923633731,-1.891109489745003,45.014,"['Issue_Age', 'Cpn', 'AMT_OUTSTANDING']","[0.4662786416767234, 0.24258002964835465, 0.13298387928901886]"
2026-06-23,IT0005273013,BTPS 3.45 03/01/48,2048-03-01,-2.670343743428873,WEAK SELL,-0.7119269699812624,0.9858045926419713,-0.4648418527508033,-1.0757042039662024,-0.8688830610180002,109.779,"['Issue_Age', 'REL_SPRD_LOG', 'Cpn']","[0.4428125571717718, 0.1660647222947105, 0.14915308590747317]"
2026-06-23,IT0005321325,BTPS 2.95 09/01/38,2038-09-01,-1.507278359085106,NO ACTION,-0.20241162465253856,0.9732979937076298,-0.5079051255628575,0.4398821821351153,-0.4241833186573296,78.044,"['Issue_Age', 'GREEN_BOND_LOAN_INDICATOR', 'Cpn']","[0.5941353464555109, 0.18092054286366951, 0.0969153855088291]"
2026-06-23,IT0005323032,BTPS 2 02/01/28,2028-02-01,-2.36381896069482,WEAK SELL,-0.9822129145571966,0.9684588144958594,-1.1058098973109425,-0.691934073438138,-1.1271463023542,-10.333,"['Cpn', 'Issue_Age', 'AMT_OUTSTANDING']","[0.3411438459687578, 0.30458570076757335, 0.1411524354736347]"
2026-06-23,IT0005340929,BTPS 2.8 12/01/28,2028-12-01,-4.74884355442504,STRONG SELL,-2.144836188676516,0.9665090204117908,-1.7193252071904814,-1.9089623152240884,-2.1275910988277036,-2.823,"['Issue_Age', 'AMT_OUTSTANDING', 'Cpn']","[0.3467516765957407, 0.213507597662239, 0.13512722740925615]"
2026-06-23,IT0005358806,BTPS 3.35 03/01/35,2035-03-01,-0.3091543422933753,MODERATE SELL,-1.124466539945776,0.9745420979938804,-1.3488557209196288,-0.838299404313002,-1.2991362034202192,58.16,"['Issue_Age', 'AMT_OUTSTANDING', 'GREEN_BOND_LOAN_INDICATOR']","[0.325220851060345, 0.29351275474471583, 0.15714471533658056]"
2026-06-23,IT0005363111,BTPS 3.85 09/01/49,2049-09-01,-2.1603170073314857,WEAK SELL,-0.5942016926953988,0.9900352273360404,-0.43702286456868256,-1.153355028506895,-0.8133766246014668,113.243,"['Cpn', 'Issue_Age', 'YAS_RISK']","[0.3533997139193203, 0.2615076615898102, 0.1372852457090575]"
2026-06-23,IT0005365165,BTPS 3 08/01/29,2029-08-01,-3.1159102112528583,STRONG SELL,-1.7050350469800077,0.9936254742488795,-1.3255457202895546,-1.006466973559814,-1.6294053215314468,6.266,"['Issue_Age', 'AMT_OUTSTANDING', 'GREEN_BOND_LOAN_INDICATOR']","[0.32578067373845254, 0.27583849859000126, 0.16161640805200303]"
2026-06-23,IT0005377152,BTPS 3.1 03/01/40,2040-03-01,-2.2461148911973225,NO ACTION,-0.6150343358115262,0.973785602364792,-0.40308337342782724,0.812776575796157,-0.610041462561087,84.553,"['AMT_OUTSTANDING', 'Issue_Age', 'GREEN_BOND_LOAN_INDICATOR']","[0.3724749874477066, 0.3294951031463794, 0.19803516945158753]"
2026-06-23,IT0005383309,BTPS 1.35 04/01/30,2030-04-01,-3.008437111740097,MODERATE SELL,-1.6474966177925727,0.9583304125478038,-1.3613571737715124,-0.11760652880904725,-1.4481895184968836,13.447,"['Cpn', 'AMT_OUTSTANDING', 'Issue_Age']","[0.5058529872996735, 0.18505973989191546, 0.1391468682245023]"
2026-06-23,IT0005398406,BTPS 2.45 09/01/50,2050-09-01,-0.4433124724438499,NO ACTION,-0.19787965570293917,0.9842406951463364,-0.1578888626102233,-2.6553608345812787,-0.7857721943451221,116.677,"['Cpn', 'Issue_Age', 'GREEN_BOND_LOAN_INDICATOR']","[0.330389311126166, 0.15846082741056972, 0.15042255339281338]"
2026-06-23,IT0005403396,BTPS 0.95 08/01/30,2030-08-01,-1.441165120752217,NO ACTION,-0.80841810531142,0.9473551671232231,-0.718557861703773,0.7688968414810007,-0.7986707167172236,18.427,"['Cpn', 'Issue_Age', 'GREEN_BOND_LOAN_INDICATOR']","[0.7003714743686915, 0.09933318534870572, 0.09700174723727406]"
2026-06-23,IT0005413171,BTPS 1.65 12/01/30,2030-12-01,-0.720168568010795,NO ACTION,-0.4224144515378424,0.9494480220537037,-0.6772933005325172,-0.2289810897019464,-0.6246843862724429,22.471,"['Cpn', 'AMT_OUTSTANDING', 'GREEN_BOND_LOAN_INDICATOR']","[0.5231000614048515, 0.19035577587906963, 0.10823068294849372]"
2026-06-23,IT0005421703,BTPS 1.8 03/01/41,2041-03-01,-2.133307881977373,NO ACTION,-0.5520342918789358,0.966705686704278,-0.5925503792474847,-0.13870736927037766,-0.6551941630033998,88.997,"['Cpn', 'GREEN_BOND_LOAN_INDICATOR', 'REL_SPRD_LOG']","[0.5856556021795963, 0.13619246034827429, 0.10662518388531528]"
2026-06-23,IT0005422891,BTPS 0.9 04/01/31,2031-04-01,-1.573411119954077,WEAK SELL,-0.8792193299424665,0.9729023625887868,-0.7458234001502635,0.739374516715058,-0.8481896729480992,24.827,"['Cpn', 'AMT_OUTSTANDING', 'GREEN_BOND_LOAN_INDICATOR']","[0.6070689193519978, 0.2037903307847916, 0.08362768548726215]"
2026-06-23,IT0005425233,BTPS 1.7 09/01/51,2051-09-01,-0.9432086110525262,NO ACTION,-0.31326657047950424,0.9507466054210907,-0.9781746215145654,-0.18673211455301386,-0.6479373133711144,117.714,"['Cpn', 'REL_SPRD_LOG', 'GREEN_BOND_LOAN_INDICATOR']","[0.5634160274850327, 0.13931910509394765, 0.12212764121187022]"
2026-06-23,IT0005433195,BTPS 0.95 03/01/37,2037-03-01,-0.5531164892292253,WEAK BUY,0.33046518978828415,0.9695938654410863,0.8494140731369423,1.786443104876825,0.902089481321371,70.716,"['Cpn', 'GREEN_BOND_LOAN_INDICATOR', 'AMT_OUTSTANDING']","[0.8042458779224431, 0.1143418014742633, 0.05461726814009434]"
2026-06-23,IT0005433690,BTPS 0 1/4 03/15/28,2028-03-15,-1.4350073589323775,NO ACTION,-0.5294469395983624,0.954953984104987,-0.4472291288110405,1.0939105235382112,-0.574741780446427,-7.965,"['Cpn', 'GREEN_BOND_LOAN_INDICATOR', 'YAS_RISK']","[0.7705228810014176, 0.08272223751008224, 0.06789562940731211]"
2026-06-23,IT0005436693,BTPS 0.6 08/01/31,2031-08-01,-1.408008121664281,WEAK SELL,-0.8420002734791576,0.9583395454602729,-0.8050425218627009,0.9084139675815712,-0.8433806924511672,28.143,"['Cpn', 'GREEN_BOND_LOAN_INDICATOR', 'AMT_OUTSTANDING']","[0.7486660429892561, 0.091888029855558, 0.06664115109719333]"
2026-06-23,IT0005438004,BTPS 1 1/2 04/30/45,2045-04-30,-4.715062388269516,STRONG SELL,-1.9938830603578037,0.9739085499436924,-1.6843927621121721,1.3713413080885182,-1.706016197343534,100.764,"['GREEN_BOND_LOAN_INDICATOR', 'Cpn', 'AMT_OUTSTANDING']","[0.6409394382727432, 0.21326992246515558, 0.08778847338338872]"
2026-06-23,IT0005441883,BTPS 2.15 03/01/2072,2072-03-01,-6.065126739590994,MODERATE SELL,-1.4955168119698765,0.923767756100139,-1.4971314162683347,0.15317648359309602,-1.381472239858627,120.766,"['REL_SPRD_LOG', 'AMT_OUTSTANDING', 'Cpn']","[0.4143800006378009, 0.24405947544725087, 0.1919774298616357]"
2026-06-23,IT0005445306,BTPS 0 1/2 07/15/28,2028-07-15,-2.8676806130146923,WEAK SELL,-1.2278293687703992,0.9684815092665581,-1.0366368193238613,0.14928740368671728,-1.1148535605464587,-5.386,"['Cpn', 'AMT_OUTSTANDING', 'GREEN_BOND_LOAN_INDICATOR']","[0.6663801775867242, 0.10454040833497501, 0.07920394124306204]"
2026-06-23,IT0005449969,BTPS 0.95 12/01/31,2031-12-01,-1.8581172608189045,WEAK SELL,-1.0855569718836293,0.9789530899853233,-0.8074516560060325,0.4972250988315656,-0.9753583847357479,30.76,"['Cpn', 'GREEN_BOND_LOAN_INDICATOR', 'Issue_Age']","[0.7046890588524342, 0.10149909933125392, 0.07009412401352126]"
2026-06-23,IT0005466013,BTPS 0.95 06/01/32,2032-06-01,-2.196581065681194,WEAK SELL,-1.2687017242796834,0.9821659528436176,-1.1043611612382633,0.1101298508849059,-1.158393406319112,34.87,"['Cpn', 'AMT_OUTSTANDING', 'Issue_Age']","[0.6275296198810114, 0.11010314945334887, 0.1095479156191295]"
